/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:15.9 CYCLES:48 ICOUNT:3 IHITRATE: 33.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:4.8 CYCLES:48 ICOUNT:10 IHITRATE: 35.6 DHITRATE: 40.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:8.0 CYCLES:56 ICOUNT:7 IHITRATE: 32.1 DHITRATE: 25.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:4.4 CYCLES:40 ICOUNT:9 IHITRATE: 24.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:7.8 CYCLES:55 ICOUNT:7 IHITRATE: 30.8 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:4.8 CYCLES:43 ICOUNT:9 IHITRATE: 27.5 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:9.3 CYCLES:56 ICOUNT:6 IHITRATE: 32.1 DHITRATE: 0
